id;start_date;end_date;language
1;2021-12-15T10:33:56;2021-12-15T08:24:11;ENGLISH
2;2021-12-14T20:01:31;2021-12-15T05:27:00;FRENCH
3;2021-12-15T05:57:43;2021-12-14T18:02:51;SPANISH
4;2021-12-15T10:28:32;2021-12-14T15:54:51;FRENCH
5;2021-12-15T12:44:55;2021-12-14T21:03:53;ENGLISH
6;2021-12-14T22:15:38;2021-12-15T12:15:58;SPANISH
7;2021-12-15T06:19:26;2021-12-14T16:53:35;FRENCH
8;2021-12-14T20:45:19;2021-12-14T17:21:08;FRENCH
9;2021-12-14T21:36:57;2021-12-15T09:08:23;FRENCH
10;2021-12-14T17:33:55;2021-12-15T10:31:24;FRENCH
